State,Average Income,State Abv
Alabama,"$78,871.29 ",AL
Alaska,"$100,086.45 ",AK
Arizona,"$96,364.72 ",AZ
Arkansas,"$77,637.36 ",AR
California,"$111,632.93 ",CA
Colorado,"$107,936.13 ",CO
Connecticut,"$117,303.22 ",CT
Delaware,"$102,639.68 ",DE
District of Columbia,"$134,385.32 ",DC
Florida,"$85,581.31 ",FL
Georgia,"$84,224.69 ",GA
Hawaii,"$105,978.87 ",HI
Idaho,"$91,721.86 ",ID
Illinois,"$103,958.50 ",IL
Indiana,"$87,139.09 ",IN
Iowa,"$86,536.71 ",IA
Kansas,"$96,719.61 ",KS
Kentucky,"$87,474.11 ",KY
Louisiana,"$78,124.94 ",LA
Maine,"$84,312.62 ",ME
Maryland,"$125,053.40 ",MD
Massachusetts,"$127,460.73 ",MA
Michigan,"$92,073.46 ",MI
Minnesota,"$104,195.36 ",MN
Mississippi,"$65,648.61 ",MS
Missouri,"$83,396.09 ",MO
Montana,"$81,638.21 ",MT
Nebraska,"$93,878.49 ",NE
Nevada,"$92,457.31 ",NV
New Hampshire,"$114,680.66 ",NH
New Jersey,"$119,305.58 ",NJ
New Mexico,"$71,531.93 ",NM
New York,"$105,571.94 ",NY
North Carolina,"$84,727.74 ",NC
North Dakota,"$90,647.13 ",ND
Ohio,"$90,396.68 ",OH
Oklahoma,"$84,974.15 ",OK
Oregon,"$107,795.68 ",OR
Pennsylvania,"$99,681.52 ",PA
Rhode Island,"$98,980.03 ",RI
South Carolina,"$83,649.63 ",SC
South Dakota,"$83,574.96 ",SD
Tennessee,"$81,911.63 ",TN
Texas,"$98,362.04 ",TX
Utah,"$112,799.70 ",UT
Vermont,"$95,683.34 ",VT
Virginia,"$114,127.44 ",VA
Washington,"$110,680.46 ",WA
West Virginia,"$72,857.68 ",WV
Wisconsin,"$90,695.26 ",WI
Wyoming,"$84,500.23 ",WY
