State,Median Household Income,State Abv
Alabama,"$55,935.00 ",AL
Alaska,"$78,038.00 ",AK
Arizona,"$70,080.00 ",AZ
Arkansas,"$54,322.00 ",AR
California,"$78,002.00 ",CA
Colorado,"$72,400.00 ",CO
Connecticut,"$87,005.00 ",CT
Delaware,"$74,051.00 ",DE
District of Columbia,"$93,000.00 ",DC
Florida,"$58,150.00 ",FL
Georgia,"$56,480.00 ",GA
Hawaii,"$88,101.00 ",HI
Idaho,"$65,326.00 ",ID
Illinois,"$74,030.00 ",IL
Indiana,"$66,882.00 ",IN
Iowa,"$65,635.00 ",IA
Kansas,"$73,110.00 ",KS
Kentucky,"$55,520.00 ",KY
Louisiana,"$51,760.00 ",LA
Maine,"$65,800.00 ",ME
Maryland,"$95,310.00 ",MD
Massachusetts,"$87,264.00 ",MA
Michigan,"$63,769.00 ",MI
Minnesota,"$81,260.00 ",MN
Mississippi,"$44,092.00 ",MS
Missouri,"$60,010.00 ",MO
Montana,"$60,000.00 ",MT
Nebraska,"$73,000.00 ",NE
Nevada,"$70,627.00 ",NV
New Hampshire,"$86,800.00 ",NH
New Jersey,"$87,352.00 ",NJ
New Mexico,"$53,021.00 ",NM
New York,"$71,300.00 ",NY
North Carolina,"$60,300.00 ",NC
North Dakota,"$70,000.00 ",ND
Ohio,"$64,782.00 ",OH
Oklahoma,"$59,303.00 ",OK
Oregon,"$73,900.00 ",OR
Pennsylvania,"$69,913.00 ",PA
Rhode Island,"$70,002.00 ",RI
South Carolina,"$61,476.00 ",SC
South Dakota,"$63,600.00 ",SD
Tennessee,"$56,615.00 ",TN
Texas,"$67,280.00 ",TX
Utah,"$84,517.00 ",UT
Vermont,"$73,800.00 ",VT
Virginia,"$81,000.00 ",VA
Washington,"$82,175.00 ",WA
West Virginia,"$53,520.00 ",WV
Wisconsin,"$67,163.00 ",WI
Wyoming,"$64,587.00 ",WY
