State,Top 1% Household Income,State Abv
Alabama,"$375,020.00 ",AL
Alaska,"$403,841.00 ",AK
Arizona,"$525,150.00 ",AZ
Arkansas,"$449,066.00 ",AR
California,"$648,482.00 ",CA
Colorado,"$562,500.00 ",CO
Connecticut,"$587,377.00 ",CT
Delaware,"$465,972.00 ",DE
District of Columbia,"$913,312.00 ",DC
Florida,"$545,548.00 ",FL
Georgia,"$380,137.00 ",GA
Hawaii,"$443,192.00 ",HI
Idaho,"$489,981.00 ",ID
Illinois,"$583,957.00 ",IL
Indiana,"$360,012.00 ",IN
Iowa,"$362,576.00 ",IA
Kansas,"$564,401.00 ",KS
Kentucky,"$516,469.00 ",KY
Louisiana,"$484,033.00 ",LA
Maine,"$329,232.00 ",ME
Maryland,"$659,690.00 ",MD
Massachusetts,"$677,400.00 ",MA
Michigan,"$519,812.00 ",MI
Minnesota,"$481,681.00 ",MN
Mississippi,"$333,715.00 ",MS
Missouri,"$351,225.00 ",MO
Montana,"$395,350.00 ",MT
Nebraska,"$397,620.00 ",NE
Nevada,"$406,124.00 ",NV
New Hampshire,"$596,154.00 ",NH
New Jersey,"$663,508.00 ",NJ
New Mexico,"$300,774.00 ",NM
New York,"$621,321.00 ",NY
North Carolina,"$509,000.00 ",NC
North Dakota,"$464,000.00 ",ND
Ohio,"$444,024.00 ",OH
Oklahoma,"$423,361.00 ",OK
Oregon,"$651,531.00 ",OR
Pennsylvania,"$552,899.00 ",PA
Rhode Island,"$529,030.00 ",RI
South Carolina,"$436,200.00 ",SC
South Dakota,"$367,075.00 ",SD
Tennessee,"$470,002.00 ",TN
Texas,"$565,719.00 ",TX
Utah,"$597,450.00 ",UT
Vermont,"$438,421.00 ",VT
Virginia,"$698,202.00 ",VA
Washington,"$516,764.00 ",WA
West Virginia,"$330,660.00 ",WV
Wisconsin,"$466,384.00 ",WI
Wyoming,"$343,100.00 ",WY
