State,State Abv,25th_percentile,75th_percentile
Alabama,AL,28245.00,102469.00
Alaska,AK,39400.00,130002.00
Arizona,AZ,37500.00,122000.00
Arkansas,AR,26000.00,95735.00
California,CA,38000.00,142040.00
Colorado,CO,40001.00,139448.00
Connecticut,CT,37536.00,153255.00
Delaware,DE,40672.00,123851.00
District of Columbia,DC,37002.00,178126.00
Florida,FL,30001.00,104072.00
Georgia,GA,30000.00,106536.00
Hawaii,HI,44681.00,145004.00
Idaho,ID,38400.00,110450.00
Illinois,IL,36402.00,132501.00
Indiana,IN,33784.00,114353.00
Iowa,IA,36193.00,112095.00
Kansas,KS,40243.00,117837.00
Kentucky,KY,28236.00,102728.00
Louisiana,LA,24180.00,101100.00
Maine,ME,32822.00,115800.00
Maryland,MD,49602.00,156043.00
Massachusetts,MA,43000.00,166944.00
Michigan,MI,34000.00,115050.00
Minnesota,MN,41417.00,131556.00
Mississippi,MS,20800.00,82005.00
Missouri,MO,33840.00,109600.00
Montana,MT,33200.00,103600.00
Nebraska,NE,36233.00,122450.00
Nevada,NV,35000.00,120370.00
New Hampshire,NH,48000.00,143541.00
New Jersey,NJ,39953.00,158660.00
New Mexico,NM,26002.00,94270.00
New York,NY,32126.00,135595.00
North Carolina,NC,30000.00,108310.00
North Dakota,ND,36500.00,117256.00
Ohio,OH,32700.00,115705.00
Oklahoma,OK,31801.00,107000.00
Oregon,OR,38168.00,131615.00
Pennsylvania,PA,33026.00,122811.00
Rhode Island,RI,34748.00,125243.00
South Carolina,SC,30000.00,103670.00
South Dakota,SD,35191.00,109001.00
Tennessee,TN,27475.00,102382.00
Texas,TX,35000.00,121648.00
Utah,UT,48338.00,139100.00
Vermont,VT,38000.00,125247.00
Virginia,VA,39089.00,152435.00
Washington,WA,45500.00,144600.00
West Virginia,WV,25920.00,93772.00
Wisconsin,WI,40021.00,116094.00
Wyoming,WY,36165.00,109080.00
