state,Gini_Coeff,mean,median,one_percent,Region,VEP,25th_percentile,75th_percentile
AK,0.4376,100086.45,78038,403841,West,0.684,39400,130002
AL,0.4741,78871.29,55935,375020,South,0.631,28245,102469
AR,0.475,77637.36,54322,449066,South,0.559,26000,95735
AZ,0.4591,96364.72,70080,525150,West,0.653,37500,122000
CA,0.4866,111632.93,78002,648482,West,0.674,38000,142040
CO,0.4548,107936.13,72400,562500,West,0.755,40001,139448
CT,0.5024,117303.22,87005,587377,Northeast,0.701,37536,153255
DC,0.5115,134385.32,93000,913312,South,0.637,37002,178126
DE,0.4509,102639.68,74051,465972,South,0.7,40672,123851
FL,0.4808,85581.31,58150,545548,South,0.712,30001,104072
GA,0.4795,84224.69,56480,380137,South,0.677,30000,106536
HI,0.4397,105978.87,88101,443192,West,0.57,44681,145004
IA,0.4422,86536.71,65635,362576,Midwest,0.728,36193,112095
ID,0.4337,91721.86,65326,489981,West,0.671,38400,110450
IL,0.48,103958.5,74030,583957,Midwest,0.668,36402,132501
IN,0.4584,87139.09,66882,360012,Midwest,0.607,33784,114353
KS,0.45,96719.61,73110,564401,Midwest,0.658,40243,117837
KY,0.4764,87474.11,55520,516469,South,0.645,28236,102728
LA,0.4978,78124.94,51760,484033,South,0.637,24180,101100
MA,0.4803,127460.73,87264,677400,Northeast,0.716,43000,166944
MD,0.4558,125053.4,95310,659690,South,0.704,49602,156043
ME,0.449,84312.62,65800,329232,Northeast,0.755,32822,115800
MI,0.4634,92073.46,63769,519812,Midwest,0.734,34000,115050
MN,0.4434,104195.36,81260,481681,Midwest,0.796,41417,131556
MO,0.4633,83396.09,60010,351225,Midwest,0.657,33840,109600
MS,0.4896,65648.61,44092,333715,South,0.597,20800,82005
MT,0.4597,81638.21,60000,395350,West,0.723,33200,103600
NC,0.4743,84727.74,60300,509000,South,0.712,30000,108310
ND,0.4558,90647.13,70000,464000,Midwest,0.64,36500,117256
NE,0.44,93878.49,73000,397620,Midwest,0.691,36233,122450
NH,0.4406,114680.66,86800,596154,Northeast,0.746,48000,143541
NJ,0.4782,119305.58,87352,663508,Northeast,0.739,39953,158660
NM,0.4768,71531.93,53021,300774,West,0.61,26002,94270
NV,0.471,92457.31,70627,406124,West,0.652,35000,120370
NY,0.5149,105571.94,71300,621321,Northeast,0.63,32126,135595
OH,0.4651,90396.68,64782,444024,Midwest,0.668,32700,115705
OK,0.4739,84974.15,59303,423361,South,0.548,31801,107000
OR,0.45,107795.68,73900,651531,West,0.743,38168,131615
PA,0.4745,99681.52,69913,552899,Northeast,0.707,33026,122811
RI,0.4628,98980.03,70002,529030,Northeast,0.647,34748,125243
SC,0.4747,83649.63,61476,436200,South,0.64,30000,103670
SD,0.436,83574.96,63600,367075,Midwest,0.652,35191,109001
TN,0.4749,81911.63,56615,470002,South,0.596,27475,102382
TX,0.4753,98362.04,67280,565719,South,0.602,35000,121648
UT,0.4268,112799.7,84517,597450,West,0.679,48338,139100
VA,0.469,114127.44,81000,698202,South,0.72,39089,152435
VT,0.4471,95683.34,73800,438421,Northeast,0.735,38000,125247
WA,0.4577,110680.46,82175,516764,West,0.752,45500,144600
WI,0.4391,90695.26,67163,466384,Midwest,0.755,40021,116094
WV,0.4644,72857.68,53520,330660,South,0.57,25920,93772
WY,0.4345,84500.23,64587,343100,West,0.642,36165,109080
